App_ID,Site,Name,Middleware,DB_Engine,Data_Size_GB,Num_Tiers,VMs_Assigned,Owner_Email,Priority,Compliance,Migration_Type
AZ-APP021,AZ,App-AZ-021,Apache 2.4,Oracle 19c,2000,2,"AZ-VM022, AZ-VM030",user21@az.company.com,1,PII,Refactor
AZ-APP022,AZ,App-AZ-022,Nginx 1.18,PostgreSQL 12,1000,2,"AZ-VM041, AZ-VM010",user22@az.company.com,3,Internal,Replatform
AZ-APP023,AZ,App-AZ-023,IIS 10,PostgreSQL 12,500,2,"AZ-VM033, AZ-VM039",user23@az.company.com,3,Internal,Refactor
AZ-APP024,AZ,App-AZ-024,IIS 10,SQLServer 2017,100,2,"AZ-VM054, AZ-VM026",user24@az.company.com,3,PCI,Replatform
AZ-APP025,AZ,App-AZ-025,Tomcat 9,SQLServer 2017,500,3,"AZ-VM056, AZ-VM024, AZ-VM051",user25@az.company.com,2,Public,Replatform
CO-APP001,CO,App-CO-001,Apache 2.4,SQLServer 2017,500,3,"CO-VM034, CO-VM002, CO-VM010",user1@co.company.com,2,Public,Rehost
CO-APP002,CO,App-CO-002,Apache 2.4,SQLServer 2017,2000,2,"CO-VM050, CO-VM047",user2@co.company.com,1,HIPAA,Rehost
CO-APP003,CO,App-CO-003,Apache 2.4,PostgreSQL 12,100,1,CO-VM028,user3@co.company.com,1,HIPAA,Replatform
CO-APP004,CO,App-CO-004,Apache 2.4,SQLServer 2017,2000,2,"CO-VM025, CO-VM021",user4@co.company.com,2,Internal,Refactor
CO-APP005,CO,App-CO-005,IIS 10,Oracle 19c,2000,3,"CO-VM017, CO-VM021, CO-VM018",user5@co.company.com,1,HIPAA,Refactor
CO-APP006,CO,App-CO-006,Nginx 1.18,PostgreSQL 12,1000,1,CO-VM006,user6@co.company.com,1,PII,Refactor
CO-APP007,CO,App-CO-007,Nginx 1.18,Oracle 19c,1000,2,"CO-VM049, CO-VM015",user7@co.company.com,3,Public,Replatform
CO-APP008,CO,App-CO-008,Tomcat 9,SQLServer 2017,2000,2,"CO-VM048, CO-VM013",user8@co.company.com,1,Public,Replatform
CO-APP009,CO,App-CO-009,Nginx 1.18,PostgreSQL 12,100,2,"CO-VM021, CO-VM034",user9@co.company.com,3,PCI,Refactor
CO-APP010,CO,App-CO-010,IIS 10,SQLServer 2017,500,3,"CO-VM004, CO-VM033, CO-VM016",user10@co.company.com,1,PCI,Replatform
CO-APP011,CO,App-CO-011,Tomcat 9,Oracle 19c,1000,2,"CO-VM042, CO-VM023",user11@co.company.com,3,HIPAA,Refactor
CO-APP012,CO,App-CO-012,Nginx 1.18,SQLServer 2017,2000,1,CO-VM026,user12@co.company.com,3,PII,Replatform
CO-APP013,CO,App-CO-013,Nginx 1.18,PostgreSQL 12,1000,2,"CO-VM050, CO-VM024",user13@co.company.com,1,Public,Rehost
CO-APP014,CO,App-CO-014,Tomcat 9,PostgreSQL 12,100,2,"CO-VM006, CO-VM038",user14@co.company.com,1,HIPAA,Refactor
CO-APP015,CO,App-CO-015,IIS 10,SQLServer 2017,100,1,CO-VM033,user15@co.company.com,3,Internal,Rehost
CO-APP016,CO,App-CO-016,Tomcat 9,SQLServer 2017,2000,3,"CO-VM011, CO-VM010, CO-VM022",user16@co.company.com,2,Internal,Refactor
CO-APP017,CO,App-CO-017,Tomcat 9,Oracle 19c,1000,2,"CO-VM005, CO-VM001",user17@co.company.com,2,HIPAA,Rehost
CO-APP018,CO,App-CO-018,Nginx 1.18,Oracle 19c,500,1,CO-VM020,user18@co.company.com,1,PCI,Rehost
CO-APP019,CO,App-CO-019,Tomcat 9,SQLServer 2017,1000,3,"CO-VM004, CO-VM021, CO-VM049",user19@co.company.com,2,Public,Refactor
CO-APP020,CO,App-CO-020,Tomcat 9,Oracle 19c,2000,2,"CO-VM010, CO-VM016",user20@co.company.com,1,HIPAA,Refactor
